time,x,y
3980.0,601.6,214.9
3984.0,601.7,214.9
3988.0,600.8,214.7
3992.0,600.6,215.4
3996.0,600.8,215.1
4000.0,601.4,215.1
4004.0,600.9,214.4
4008.0,601.0,214.4
4012.0,602.1,214.4
4016.0,600.9,214.5
4020.0,601.3,214.3
4024.0,600.0,214.1
4028.0,600.8,214.0
4032.0,600.9,213.9
4036.0,600.7,213.8
4040.0,600.5,213.8
4044.0,599.8,213.9
4048.0,599.7,214.4
4052.0,600.8,214.3
4056.0,600.8,214.0
4060.0,600.7,214.0
4064.0,600.4,213.7
4068.0,599.9,213.3
4072.0,599.8,213.7
4076.0,599.9,213.6
4080.0,600.1,214.1
4084.0,599.9,214.6
4088.0,603.3,215.6
4092.0,620.7,216.6
4096.0,648.9,215.8
4100.0,688.4,216.7
4104.0,717.6,218.7
4108.0,737.6,219.9
4112.0,742.7,219.3
4116.0,738.0,215.9
4120.0,726.9,214.8
4124.0,716.4,215.1
4128.0,713.6,215.5
4132.0,715.0,216.3
4136.0,717.6,216.2
4140.0,720.7,216.7
4144.0,722.7,217.3
4148.0,723.5,218.6
4152.0,723.9,218.4
4156.0,723.7,219.2
4160.0,724.6,219.7
4164.0,725.1,220.2
4168.0,725.6,220.0
4172.0,724.8,219.6
4176.0,724.3,220.4
4180.0,724.6,221.4
4184.0,724.7,222.0
4188.0,725.2,223.1
4192.0,724.5,223.3
4196.0,724.8,222.8
4200.0,725.4,222.2
4204.0,725.5,223.5
4208.0,725.4,223.9
4212.0,724.8,223.5
4216.0,725.6,223.6
4220.0,725.7,223.1
4224.0,725.3,223.3
4228.0,725.0,222.6
4232.0,725.4,223.3
4236.0,726.1,223.5
4240.0,725.8,223.5
4244.0,725.6,222.7
4248.0,725.8,223.1
4252.0,726.0,222.7
4256.0,726.5,223.5
4260.0,725.5,223.2
4264.0,726.7,223.3
4268.0,726.4,223.8
4272.0,727.0,222.9
4276.0,726.1,223.3
4280.0,725.5,222.9
4284.0,726.1,223.5
4288.0,726.1,222.9
4292.0,726.2,223.8
4296.0,726.6,223.2
4300.0,726.8,223.1
4304.0,726.1,223.2
4308.0,726.3,223.0
4312.0,726.0,222.8
4316.0,726.3,222.5
4320.0,726.3,223.1
4324.0,726.6,222.7
4328.0,726.9,222.8
4332.0,726.8,222.4
4336.0,727.1,222.6
4340.0,727.7,222.8
4344.0,727.5,221.9
4348.0,727.4,221.6
4352.0,726.5,221.9
4356.0,726.6,222.0
4360.0,726.8,221.9
4364.0,726.7,221.9
4368.0,726.5,221.8
