time,x,y,pupil_diameter
2623994,139.3,62.8,1185.0
2623995,139.2,60.4,1180.0
2623996,139.1,59.6,1186.0
2623997,139.4,61.9,1192.0
2623998,140.2,64.6,1191.0
2623999,141.3,66.2,1191.0
2624000,140.4,67.0,1192.0
2624001,138.8,67.4,1193.0
2624002,137.1,67.5,1196.0
2624003,136.8,67.2,1198.0
2624004,136.6,66.3,1199.0
2624005,138.0,66.9,1198.0
2624006,139.5,68.1,1198.0
2624007,140.9,67.1,1198.0
2624008,140.9,64.4,1197.0
2624009,140.9,61.6,1196.0
2624010,140.9,61.5,1195.0
2624011,140.7,62.0,1195.0
2624012,140.6,62.5,1187.0
2624013,140.5,63.1,1179.0
2624014,140.6,62.8,1171.0
2624015,140.8,62.5,1172.0
2624016,140.7,61.9,1177.0
2624017,140.7,61.4,1182.0
2624018,139.9,64.6,1191.0
2624019,139.4,68.2,1195.0
2624020,139.1,69.4,1191.0
2624021,139.5,67.1,1184.0
2624022,139.1,64.6,1177.0
2624023,138.3,64.4,1176.0
2624024,137.5,64.2,1177.0
2624025,137.6,64.1,1178.0
2624026,137.6,64.1,1180.0
2624027,137.5,65.8,1181.0
2624028,137.5,67.5,1181.0
2624029,138.7,65.5,1179.0
2624030,140.2,61.8,1176.0
2624031,140.7,59.2,1175.0
2624032,139.5,63.1,1175.0
2624033,138.8,67.1,1177.0
2624034,139.1,69.2,1178.0
2624035,139.9,68.7,1178.0
2624036,140.2,68.2,1178.0
2624037,140.3,68.1,1175.0
2624038,140.4,68.0,1169.0
2624039,140.3,67.9,1164.0
2624040,140.5,67.2,1161.0
2624041,141.3,64.5,1159.0
2624042,141.9,61.8,1156.0
2624043,142.2,59.9,1157.0
2624044,142.1,59.7,1161.0
2624045,142.2,59.4,1163.0
2624046,142.3,59.1,1161.0
2624047,142.2,59.2,1157.0
2624048,142.8,59.8,1155.0
2624049,143.2,61.9,1161.0
2624050,143.1,63.4,1168.0
2624051,141.8,64.3,1172.0
2624052,140.6,64.8,1168.0
2624053,139.9,65.5,1168.0
2624054,140.1,64.4,1172.0
2624055,140.7,62.9,1174.0
2624056,141.6,61.5,1169.0
2624057,142.2,62.1,1165.0
2624058,142.2,63.2,1165.0
2624059,142.1,63.0,1166.0
2624060,142.1,62.7,1167.0
2624061,141.2,60.9,1166.0
2624062,140.0,60.5,1167.0
2624063,141.3,59.6,1168.0
2624064,143.7,59.0,1170.0
2624065,144.6,63.4,1170.0
2624066,142.4,68.4,1168.0
2624067,140.4,72.3,1166.0
2624068,140.1,70.3,1164.0
2624069,140.3,68.3,1166.0
2624070,141.1,68.1,1167.0
2624071,141.7,69.1,1168.0
2624072,141.1,69.9,1166.0
2624073,139.8,68.6,1164.0
2624074,139.0,66.6,1162.0
2624075,139.8,64.6,1163.0
2624076,140.7,64.1,1160.0
2624077,141.3,63.7,1156.0
2624078,141.1,63.4,1151.0
2624079,140.1,63.2,1150.0
2624080,140.0,62.7,1149.0
2624081,140.2,61.7,1148.0
2624082,141.0,60.8,1148.0
2624083,140.4,60.0,1152.0
2624084,140.0,59.4,1155.0
2624085,139.9,58.9,1157.0
2624086,140.5,59.4,1158.0
2624087,141.5,59.8,1158.0
2624088,142.1,60.3,1152.0
2624089,142.3,60.0,1144.0
2624090,141.9,59.7,1136.0
2624091,141.5,59.4,1143.0
2624092,141.0,60.4,1152.0
2624093,140.5,61.6,1154.0
2624094,140.1,62.8,1147.0
2624095,140.0,62.8,1142.0
2624096,139.9,62.7,1143.0
2624097,140.0,61.8,1147.0
2624098,140.1,60.8,1150.0
2624099,140.2,59.9,1149.0
2624100,139.9,61.2,1146.0
2624101,139.5,62.5,1145.0
2624102,140.0,62.3,1146.0
2624103,140.7,60.7,1145.0
2624104,142.5,58.1,1144.0
2624105,143.8,56.1,1143.0
2624106,143.6,54.0,1144.0
2624107,142.3,52.2,1143.0
2624108,141.4,51.6,1141.0
2624109,141.4,51.2,1136.0
2624110,140.8,54.7,1130.0
2624111,139.3,58.1,1128.0
2624112,138.1,60.4,1131.0
2624113,137.5,59.4,1136.0
2624114,137.2,58.8,1142.0
2624115,137.6,59.6,1142.0
2624116,138.3,60.4,1139.0
2624117,138.7,60.5,1136.0
2624118,138.8,59.8,1136.0
2624119,137.5,58.9,1136.0
2624120,137.0,57.3,1138.0
2624121,136.9,55.3,1140.0
2624122,137.9,53.4,1139.0
2624123,138.0,55.9,1136.0
2624124,137.9,59.2,1133.0
2624125,139.0,62.5,1133.0
2624126,140.5,62.4,1133.0
2624127,141.9,62.3,1135.0
